"","text"
"1089","smooth complex  joy  sip"
"1090","  like  one maybe   buy red breast  instead  value  less  half  price"
"1091","excellent whiskey  definitely recommend  buy "
"1092","nose cheeky   nose really smells  soy sauce oaky doakytaste remorseful  firmconcluding   gentle walk   mugging   end"
"1093","  like smooth complex  subtle    perfectionthere   flavor component    appears    seconds  surprises youcould   tad  warmpowerful  dont taste  smoke    good thingyou need  taste thisjoakim"
"1094","one   favourites    favourite rich  yes almost chocolatey superb"
"1095","balance depth subtlety strength  bit  sherry well    bit   certainly   much honey spice   wisp  smoke   wow complex  compelling   love  taketsuru      even better  "
"1096"," two words liquid gold"
"1097"," indeed   special whisky  scent  brandy snapps sweetness   nose  light sweet smokiness   palate guaranteed  sale   throat "
"1098","notes  fruit caramel  smoke"
"1099","everyone   let try  always said wow   smoooththis   idea   perfect japanese whisky  taste cinnamon  creamy vanilla   touch  smoke   delight  drink  also recently tried  nikka  taketsuru       level       find  nikka taketsuru     wont  disappointed "
"1100","  amazed    touched scotch  since  late teens   loathed     given  nikka   gift   monogrammed flask  age   blind tasted      murmured  amazement scotch   whispered replyscotch  exclaimed  kind  queried  nikka japanese holy cow     missing  course nikka   scotch      learn   began  quest   world  single malt whisky     looked back   joy  tasted  leathery smoky quality    really love  found   highland park   well   read   japanese took  top prize   jim murray tasting  couple  years ago   yamazaki single malt sherry cask    longer felt disloyal   scottish ancestry  liking something    actually scotch im due  another bottle   oh   birthday next week guess    give    bd darling wife ill put  right next   balvenie  single barrel   glenkinchie "
"1101","mnogo dobar whisky iscepao sam flasu sam ne boli glava  jaja je verujte mi"
"1102","   good   scotch ive    price point   delicate  light   layers  layers  complexity including  long  subtle finish   scotches  drink    like glenmorangie   smokier malts    distinct   definitely    personality  quite  pleasing one   five  stock locally    change  priced lower  canada    us   add  least one  bottle   collection "
"1103"," second bottle  japanese whisky   understanding    distillery    specific blend  cask  chosen  located  hokkaido  largest   northern japanese islands    latitude hokkaido shares  similar climate  scotland   founder  nikka distilleries believed  essential  producing superior whiskeys suntory brands like  excellent hibiki  distilled  honshu    largest   central   japanese islands  nikka  pure malt blend  much fruiter  hibiki     sweeter  round noise  notes  vanilla   caramelized sugars  flavor  sweet  full  notes  fruit  sherry   strong flavor  vanilla  marshmallows  delicate balance  peat  reminds    umami flavors  strong fermented soy sauces however   japanese whiskeys   many flavor notes   similar   two  refreshing grassy notes  milk tea   surprising harmony    flavors    would highly recommend  bottle  one   growing number  excellent japanese whiskeys "
"1104"," thought  favorite top five whiskeys  set  stone    completely shaken   list  subtle peet taste  mild demeanor   light sweetness reminiscent   fine bourbon come together   novel way furthermore  costs much less  many    favorites whiskeys"
"1105"," guys couldnt  hit  nail    head   fine whisky  tasting notes  spot   blend  simply amazing  deserves   acknowledged   top  blended whiskys"
"1106","theres  unpleasant smell    make  cringe   taste   flat bitterness  reminds   cheap stuff like label   go back  majesty wonderful bottlecap though"
"1107","       ben nevis  nikka                 "
"1108","domo arigato taketsuru san  domo "
"1109","received  bottle      gift  loved   may   japan    par   decent scotch  ive savored"
"1110","    pupil   sensai    years   become friends     seafood business  shared    products     gracious way  gave   bottle     honor   besides   whiskey  outstanding    irish whiskey fan    goes   middetons  bushmills  smoothness  drinkability  get vanillacaramel  nose terrific smokey smooth finish nice work"
"1111"," gift   wife    warmed   love  fine whiskey   unprepared   delightful  would  elegant gentle  lovely nose  nicely balanced  flavors  fine  dram   scotch whisky   tried  better  many  drink  one neat  ice  water would  improve  "
"1112","one   best  ever tasted nice xmas present "
"1113","bought    son  xmas hes always wanted  japanese whisky  hope  likes "
"1114","seriously   first popped  openi couldnt stop sniffing ita  deep  enticing aromamy first sip    instant  tongue  smilinglayers  flavours swirled   itevery japanese whiskey   tasted cements  love   skilla mustspot  comments   master  malt chaps"
"1115"," love   huge fan  japanese whiskeys  general   right   alley   better  hibiki  yamazaki yo  probably   lovely    jason breen"
"1116","smooth rich fruits caramel toffee  cant detect  smoke  thats  fine     really good tasting whisky"
"1117","rating  previous review"
"1118"," local store   tasting today     whiskey  enjoyed   much   purchased  bottle   spotwho knew   japanese could    great whiskey oh  never mix   anythingsave  cube  two"
"1119","really nothing  special   discrete vatted whisky suitable especially   mixing   soda works well enough  recommendedthe nikka   barrel  less expensive   delicious  least  one point"
"1120"," tasting notes  spot   although  feel  apple fruit  cinnamon  prevalent    nose    palate  finish   maltdigestive note rounds  taste making   spicy apple pie  pleasure  start  finish  japanese  made  superb whisky  highly recommended leigh h"
"1121","ive  recently dipped  toe   world  japanese whisky  along   yoichi   yamazaki ive stumbled across one    literally couldnt help  open    try   simply like nothing else ive ever tried   bourbonesc lots  honeycomb  hickory   nuttyness flying   taste   complex  really struggled  pin   specific flavour components  theyre   massive im stunned   litterally knocked   feet    sit    first tried   shop  got      allocation   bottles   suspect   went back      would  gone "
"1122","absolutely amazing whisky  notes  woodford reserve   oily orangy malts yes  obanish   nose   beatiful mouthfeel  stone fruits stewed apricots   vegetal  caol ila like finish   price    outta  world     poland   zloties ca  quid"
"1123","reminded   little    subtle version  black bush   japan     pound"
"1124"," thoroughly enjoyed  full bottle   ever   available againalbeit   different yearcaskn"
"1125"," love perfect manhattan made   whisky "
"1126","really enjoyed  flavour   whisky great stuff"
"1127","given  slightly racist tone   guy   top   think   safely ignore  rest  opinion especially   seems  think  wine    remarkably complex whisky quite unlike anything ive ever tasted absolutely sublime worth  go   samples    "
"1128"," particular distillation process makes  whisky unique perfect balance  extremely wide range  flavors great"
"1129","thats probably   previous poster thought  tasted    rest   comment   even worth reading"
"1130"," like buying  bottle  grey goose thinking    classy    thing  japanese  make well  sake   snake alcohol  stay away   disease  takes like  sumo wrestler took  dump   bottle "
